utr_number,deposit_amount,deposit_date,description,bank_ref
UTR1QW6AHF7,11302.15,2026-08-21,RAZORPAY SETTLEMENT setl_001,REF_VP1IEIXW
UTRC4RTWUZK,6678.06,2026-08-21,RAZORPAY SETTLEMENT setl_002 PART1,REF_AMUGYSM8
UTRT2SA5BNN,4452.04,2026-08-22,RAZORPAY SETTLEMENT setl_002 PART2,REF_0MCIXDU1
UTREMMX3Y9R,16833.05,2026-08-23,RAZORPAY SETTLEMENT setl_003,REF_GEZ7BH25
UTRLLO3RBXK,15475.74,2026-08-22,RAZORPAY SETTLEMENT setl_004,REF_5BXJ2POP
UTR8MGYN2JC,8573.69,2026-08-24,RAZORPAY SETTLEMENT setl_005,REF_PP9GKDLK
UTRQZFPQ06W,11307.85,2026-08-25,RAZORPAY SETTLEMENT setl_006,REF_PX2CYOS0
UTRFB4YPEIX,11444.45,2026-08-25,RAZORPAY SETTLEMENT setl_007,REF_N8BFQNPC
UTRENLK8AGS,10146.92,2026-08-25,RAZORPAY SETTLEMENT setl_008,REF_6E1ZHWY9
UTRHECGZ938,10588.46,2026-08-27,RAZORPAY SETTLEMENT setl_009,REF_9YZTKKFZ
UTRZGNI92IR,7979.92,2026-08-26,RAZORPAY SETTLEMENT setl_010 PART1,REF_MUQ9E5CO
UTRZROOUELC,5319.94,2026-08-27,RAZORPAY SETTLEMENT setl_010 PART2,REF_QSE3TV1E
UTRS53SKF7I,11988.1,2026-08-27,RAZORPAY SETTLEMENT setl_011,REF_8SKCH8JW
