utr_number,deposit_amount,deposit_date,description,bank_ref
UTRBWZSOAE5,6230.92,2026-08-23,RAZORPAY SETTLEMENT setl_001 PART1,REF_WIFZTXU7
UTR82OTJ9A9,4153.95,2026-08-24,RAZORPAY SETTLEMENT setl_001 PART2,REF_QBCG4UKT
UTRJFFDBQJ6,13486.68,2026-08-22,RAZORPAY SETTLEMENT setl_002,REF_NGEAG22W
UTRAK25L85O,9048.39,2026-08-21,RAZORPAY SETTLEMENT setl_003,REF_WMI709I8
UTRBO56O2UF,10016.81,2026-08-22,RAZORPAY SETTLEMENT setl_004,REF_2B6XUE78
UTRCC0IZ4Z5,6352.69,2026-08-22,RAZORPAY SETTLEMENT setl_005 PART1,REF_A0VX4URI
UTRNATC43Q4,4235.13,2026-08-23,RAZORPAY SETTLEMENT setl_005 PART2,REF_BM98B0KT
UTR37HPK978,14848.17,2026-08-22,RAZORPAY SETTLEMENT setl_006,REF_KDWIYR29
UTR91GLNBBW,10757.58,2026-08-22,RAZORPAY SETTLEMENT setl_007,REF_BHIUYSW3
UTR7LCPRHLO,5213.51,2026-08-23,RAZORPAY SETTLEMENT setl_008 PART1,REF_O91Z4NVB
UTRE5EF9YXQ,3475.68,2026-08-24,RAZORPAY SETTLEMENT setl_008 PART2,REF_8ZOX0UVD
UTRFNY4LM8J,16158.38,2026-08-23,RAZORPAY SETTLEMENT setl_009,REF_NZT4X9RO
UTR4GYWN8DZ,10605.44,2026-08-22,RAZORPAY SETTLEMENT setl_010,REF_MYN073K9
UTRUTKAAXM3,14630.29,2026-08-22,RAZORPAY SETTLEMENT setl_011,REF_4YNSJ0YW
UTRB3Y5SR93,12680.0,2026-08-22,RAZORPAY SETTLEMENT setl_012,REF_QS3KB0SM
UTRB970QHUJ,8364.13,2026-08-22,RAZORPAY SETTLEMENT setl_013,REF_OQ2U8GQN
UTRTTBZGD7P,9617.03,2026-08-23,RAZORPAY SETTLEMENT setl_014,REF_37SHMEKD
UTRTT83E0V3,5925.52,2026-08-22,RAZORPAY SETTLEMENT setl_015 PART1,REF_J3IYNVWI
