order_id,injected_anomaly_type
ORD_1001,TIMING_MISMATCH
ORD_1002,NONE
ORD_1003,NONE
ORD_1004,PARTIAL_REFUND
ORD_1005,NONE
ORD_1006,NONE
ORD_1007,NONE
ORD_1008,NONE
ORD_1009,NONE
ORD_1010,NONE
ORD_1011,SPLIT_SETTLEMENT
ORD_1012,NONE
ORD_1013,NONE
ORD_1014,NONE
ORD_1015,NONE
ORD_1016,NONE
ORD_1017,NONE
ORD_1018,NONE
ORD_1019,NONE
ORD_1020,DUPLICATE_PAYMENT
ORD_1021,NONE
ORD_1022,NONE
ORD_1023,MISSING_IN_RAZORPAY
ORD_1024,NONE
ORD_1025,NONE
ORD_1026,NONE
ORD_1027,FEE_DISCREPANCY
ORD_1028,NONE
ORD_1029,NONE
ORD_1030,NONE
ORD_1031,NONE
ORD_1032,NONE
ORD_1033,NONE
ORD_1034,NONE
ORD_1035,NONE
ORD_1036,TIMING_MISMATCH
ORD_1037,NONE
ORD_1038,NONE
ORD_1039,NONE
ORD_1040,NONE
ORD_1041,NONE
ORD_1042,NONE
ORD_1043,NONE
ORD_1044,NONE
ORD_1045,PARTIAL_REFUND
ORD_1046,NONE
ORD_1047,NONE
ORD_1048,SPLIT_SETTLEMENT
ORD_1049,NONE
ORD_1050,NONE
ORD_1051,NONE
ORD_1052,NONE
ORD_1053,DUPLICATE_PAYMENT
ORD_1054,NONE
ORD_1055,NONE
ORD_1056,MISSING_IN_RAZORPAY
ORD_1057,NONE
ORD_1058,NONE
ORD_1059,NONE
ORD_1060,NONE
ORD_1061,NONE
ORD_1062,NONE
ORD_1063,NONE
ORD_1064,NONE
ORD_1065,FEE_DISCREPANCY
ORD_1066,NONE
ORD_1067,NONE
ORD_1068,NONE
ORD_1069,NONE
ORD_1070,TIMING_MISMATCH
ORD_1071,NONE
ORD_1072,NONE
ORD_1073,PARTIAL_REFUND
ORD_1074,NONE
ORD_1075,NONE
ORD_1076,NONE
ORD_1077,NONE
ORD_1078,NONE
ORD_1079,NONE
ORD_1080,NONE
ORD_1081,NONE
ORD_1082,SPLIT_SETTLEMENT
ORD_1083,NONE
ORD_1084,DUPLICATE_PAYMENT
ORD_1085,NONE
ORD_1086,NONE
ORD_1087,NONE
ORD_1088,NONE
ORD_1089,NONE
ORD_1090,NONE
ORD_1091,NONE
ORD_1092,NONE
ORD_1093,NONE
ORD_1094,NONE
ORD_1095,NONE
ORD_1096,NONE
ORD_1097,NONE
ORD_1098,NONE
ORD_1099,NONE
ORD_1100,NONE
ORD_1101,NONE
ORD_1102,NONE
ORD_1103,NONE
ORD_1104,NONE
ORD_1105,NONE
ORD_1106,NONE
