payment_id,order_id,amount,fee,tax,net_amount,settlement_id,payment_date,settlement_date,status
pay_HVS3LO1S,ORD_1001,1332.78,26.66,4.8,1301.32,setl_001,2026-08-21 23:59:00,2026-08-23,captured
pay_B1G36XGM,ORD_1002,1538.01,30.76,5.54,1501.71,setl_001,2026-08-21 06:28:00,2026-08-22,captured
pay_V3N69OS3,ORD_1003,1521.31,30.43,5.48,1485.4,setl_001,2026-08-21 03:03:00,2026-08-22,captured
pay_9FTNQAQA,ORD_1004,248.18,4.96,0.89,192.69,setl_001,2026-08-21 00:38:00,2026-08-22,captured
pay_WSZC62NT,ORD_1005,294.47,5.89,1.06,287.52,setl_001,2026-08-21 06:01:00,2026-08-22,captured
pay_MMX85PZY,ORD_1006,547.53,10.95,1.97,534.61,setl_001,2026-08-21 08:07:00,2026-08-22,captured
pay_NL61K4NT,ORD_1007,1223.41,24.47,4.4,1194.54,setl_001,2026-08-20 18:53:00,2026-08-21,captured
pay_0QAQ0ZZQ,ORD_1008,2460.96,49.22,8.86,2402.88,setl_001,2026-08-21 05:28:00,2026-08-22,captured
pay_D0IUD7I5,ORD_1009,464.86,9.3,1.67,453.89,setl_001,2026-08-20 21:26:00,2026-08-21,captured
pay_H96GUDLM,ORD_1010,403.3,8.07,1.45,393.78,setl_001,2026-08-20 19:17:00,2026-08-21,captured
pay_ROBZ35M6,ORD_1011,341.94,6.84,1.23,333.87,setl_001,2026-08-20 21:54:00,2026-08-21,captured
pay_EB5NYPM1,ORD_1012,309.98,6.2,1.12,302.66,setl_001,2026-08-21 08:26:00,2026-08-22,captured
pay_4NJ74NCK,ORD_1013,431.05,8.62,1.55,420.88,setl_002,2026-08-21 05:52:00,2026-08-22,captured
pay_VKQ1ZIQ4,ORD_1014,2530.98,50.62,9.11,2471.25,setl_002,2026-08-20 18:25:00,2026-08-21,captured
pay_6J8GAX0R,ORD_1015,1883.41,37.67,6.78,1838.96,setl_002,2026-08-21 07:37:00,2026-08-22,captured
pay_6H5Q651K,ORD_1016,1348.81,26.98,4.86,1316.97,setl_002,2026-08-21 03:58:00,2026-08-22,captured
pay_5K9MBAYH,ORD_1017,481.06,9.62,1.73,469.71,setl_002,2026-08-21 00:45:00,2026-08-22,captured
pay_5QKDPTKH,ORD_1018,2465.59,49.31,8.88,2407.4,setl_002,2026-08-20 23:23:00,2026-08-21,captured
pay_PXSFE799,ORD_1019,439.64,8.79,1.58,429.27,setl_002,2026-08-20 20:08:00,2026-08-21,captured
pay_TB705PKG,ORD_1020,356.34,7.13,1.28,347.93,setl_002,2026-08-20 17:29:30,2026-08-21,captured
pay_EY3HANFI,ORD_1020,356.34,7.13,1.28,347.93,setl_002,2026-08-20 17:29:00,2026-08-21,captured
pay_O9RBF06E,ORD_1021,2515.24,50.3,9.05,2455.89,setl_002,2026-08-21 05:37:00,2026-08-22,captured
pay_KH7D31VL,ORD_1022,1004.18,20.08,3.61,980.49,setl_002,2026-08-21 07:36:00,2026-08-22,captured
pay_LDHPHOCE,ORD_1024,1263.06,25.26,4.55,1233.25,setl_003,2026-08-20 22:51:00,2026-08-21,captured
pay_3IPYDALO,ORD_1025,315.83,6.32,1.14,308.37,setl_003,2026-08-21 07:53:00,2026-08-22,captured
pay_KE22V144,ORD_1026,2954.8,59.1,10.64,2885.06,setl_003,2026-08-20 21:01:00,2026-08-21,captured
pay_45VMYAM1,ORD_1027,1646.65,38.86,6.99,1600.8,setl_003,2026-08-21 04:25:00,2026-08-22,captured
pay_08TOYG0P,ORD_1028,1486.85,29.74,5.35,1451.76,setl_003,2026-08-21 03:29:00,2026-08-22,captured
pay_JB6WFGGE,ORD_1029,214.35,4.29,0.77,209.29,setl_003,2026-08-20 22:25:00,2026-08-21,captured
pay_NJDJ25XE,ORD_1030,876.05,17.52,3.15,855.38,setl_003,2026-08-21 04:06:00,2026-08-22,captured
pay_A4W7PN76,ORD_1031,228.92,4.58,0.82,223.52,setl_003,2026-08-21 02:30:00,2026-08-22,captured
pay_3E4GJG53,ORD_1032,287.74,5.75,1.03,280.96,setl_003,2026-08-20 23:16:00,2026-08-21,captured
pay_BYZ5LTX9,ORD_1033,461.2,9.22,1.66,450.32,setl_004,2026-08-21 05:22:00,2026-08-22,captured
pay_BC28GBI3,ORD_1034,177.49,3.55,0.64,173.3,setl_004,2026-08-21 06:17:00,2026-08-22,captured
pay_7C3HP77Z,ORD_1035,1945.51,38.91,7.0,1899.6,setl_004,2026-08-21 06:50:00,2026-08-22,captured
pay_25WMGX9X,ORD_1036,2964.62,59.29,10.67,2894.66,setl_004,2026-08-20 23:59:00,2026-08-22,captured
pay_KSZK4T47,ORD_1037,1453.35,29.07,5.23,1419.05,setl_004,2026-08-20 21:55:00,2026-08-21,captured
pay_7VQXW3RN,ORD_1038,538.03,10.76,1.94,525.33,setl_004,2026-08-20 21:38:00,2026-08-21,captured
pay_BBD21X69,ORD_1039,1013.79,20.28,3.65,989.86,setl_004,2026-08-21 03:14:00,2026-08-22,captured
pay_1RSIWSM7,ORD_1040,1472.15,29.44,5.3,1437.41,setl_004,2026-08-20 21:33:00,2026-08-21,captured
