utr_number,deposit_amount,deposit_date,description,bank_ref
UTRAKGMIH6M,7889.09,2026-08-22,RAZORPAY SETTLEMENT setl_001,REF_V4XEKZ83
UTRY0224WK0,7328.28,2026-08-22,RAZORPAY SETTLEMENT setl_002 PART1,REF_YEHVDO9K
UTRHBA5MF36,4885.52,2026-08-23,RAZORPAY SETTLEMENT setl_002 PART2,REF_BCPWEIJM
UTRMB5JFYSY,7705.18,2026-08-21,RAZORPAY SETTLEMENT setl_003,REF_Z7PQ4DDV
UTR283BDW56,17545.16,2026-08-22,RAZORPAY SETTLEMENT setl_004,REF_FKPS0DXM
UTRE4PO1I3M,8569.77,2026-08-22,RAZORPAY SETTLEMENT setl_005,REF_SDN1MXF1
UTRPI2OOQ42,8739.2,2026-08-23,RAZORPAY SETTLEMENT setl_006 PART1,REF_NBFA37DL
UTR9FC1XX6C,5826.14,2026-08-24,RAZORPAY SETTLEMENT setl_006 PART2,REF_WZXSKOYT
UTRK06AKT7Z,11830.66,2026-08-22,RAZORPAY SETTLEMENT setl_007,REF_QHT2XZ52
UTROHKBM00E,7935.0,2026-08-21,RAZORPAY SETTLEMENT setl_008,REF_9KDTS1FB
UTR2VI109DC,11555.73,2026-08-23,RAZORPAY SETTLEMENT setl_009,REF_NWMBXEK0
UTRQ929U6WT,13770.98,2026-08-22,RAZORPAY SETTLEMENT setl_010,REF_VMK2ZYZS
UTRILU3NDZ3,10377.02,2026-08-22,RAZORPAY SETTLEMENT setl_011,REF_CC5RQNSV
UTRSOJRPP7R,5156.76,2026-08-22,RAZORPAY SETTLEMENT setl_012 PART1,REF_93FEZEZ5
UTREHR07N8V,3437.84,2026-08-23,RAZORPAY SETTLEMENT setl_012 PART2,REF_OEUBFN9K
UTRR2FVB66H,16208.02,2026-08-23,RAZORPAY SETTLEMENT setl_013,REF_3REM5PUU
UTR62RZV1SQ,8720.75,2026-08-23,RAZORPAY SETTLEMENT setl_014,REF_QQ5L2XOI
UTROT860X5Z,11035.02,2026-08-22,RAZORPAY SETTLEMENT setl_015,REF_U2ZUEUGW
UTRUBUGR6E7,9688.48,2026-08-22,RAZORPAY SETTLEMENT setl_016 PART1,REF_GA2IZ5P3
UTRVOB5APO4,6458.99,2026-08-23,RAZORPAY SETTLEMENT setl_016 PART2,REF_LJEDGFJD
UTRLOGWLACO,11729.86,2026-08-24,RAZORPAY SETTLEMENT setl_017,REF_LOLN3EH1
UTRVR1NECQO,11033.4,2026-08-23,RAZORPAY SETTLEMENT setl_018,REF_ROI5J8YI
UTRT2KODWH8,12818.8,2026-08-23,RAZORPAY SETTLEMENT setl_019,REF_N92TP6QA
UTRQ3K8A7RV,9364.91,2026-08-23,RAZORPAY SETTLEMENT setl_020,REF_4NMWVSB0
