order_id,injected_anomaly_type
ORD_1001,NONE
ORD_1002,TIMING_MISMATCH
ORD_1003,NONE
ORD_1004,NONE
ORD_1005,NONE
ORD_1006,NONE
ORD_1007,NONE
ORD_1008,PARTIAL_REFUND
ORD_1009,NONE
ORD_1010,NONE
ORD_1011,NONE
ORD_1012,NONE
ORD_1013,NONE
ORD_1014,NONE
ORD_1015,NONE
ORD_1016,NONE
ORD_1017,NONE
ORD_1018,SPLIT_SETTLEMENT
ORD_1019,NONE
ORD_1020,NONE
ORD_1021,NONE
ORD_1022,NONE
ORD_1023,NONE
ORD_1024,NONE
ORD_1025,NONE
ORD_1026,NONE
ORD_1027,NONE
ORD_1028,NONE
ORD_1029,NONE
ORD_1030,NONE
ORD_1031,NONE
ORD_1032,NONE
ORD_1033,NONE
ORD_1034,NONE
ORD_1035,NONE
ORD_1036,NONE
ORD_1037,NONE
ORD_1038,NONE
ORD_1039,NONE
ORD_1040,NONE
ORD_1041,DUPLICATE_PAYMENT
ORD_1042,NONE
ORD_1043,NONE
ORD_1044,NONE
ORD_1045,NONE
ORD_1046,NONE
ORD_1047,NONE
ORD_1048,MISSING_RECORD
ORD_1049,NONE
ORD_1050,NONE
