payment_id,order_id,amount,fee,tax,net_amount,settlement_id,payment_date,settlement_date,status
pay_DPBHSAHX,ORD_1001,1171.32,23.43,4.22,1143.67,setl_001,2026-08-20 20:48:00,2026-08-21,captured
pay_ZMF8MDD4,ORD_1002,1571.04,31.42,5.66,1533.96,setl_001,2026-08-21 23:58:00,2026-08-23,captured
pay_9NT3W5UZ,ORD_1003,279.71,5.59,1.01,273.11,setl_001,2026-08-21 07:35:00,2026-08-22,captured
pay_NQ4FMYZY,ORD_1004,1226.31,24.53,4.42,1197.36,setl_001,2026-08-21 00:56:00,2026-08-22,captured
pay_N9XUY41I,ORD_1005,1512.5,30.25,5.44,1476.81,setl_001,2026-08-21 00:14:00,2026-08-22,captured
pay_5LXO6QJI,ORD_1006,339.12,6.78,1.22,331.12,setl_001,2026-08-21 00:03:00,2026-08-21,captured
pay_OH9SDBDW,ORD_1007,3475.27,69.51,12.51,3393.25,setl_001,2026-08-21 07:02:00,2026-08-22,captured
pay_84AZYTJX,ORD_1008,1455.35,29.11,5.24,1221.0,setl_001,2026-08-21 07:36:00,2026-08-22,captured
pay_81SDW4SH,ORD_1009,192.48,3.85,0.69,187.94,setl_002,2026-08-21 17:49:00,2026-08-22,captured
pay_REN93IIU,ORD_1010,1802.94,36.06,6.49,1760.39,setl_002,2026-08-21 17:41:00,2026-08-22,captured
pay_8FSV871Y,ORD_1011,1522.19,30.44,5.48,1486.27,setl_002,2026-08-21 21:12:00,2026-08-22,captured
pay_QICATVAZ,ORD_1012,498.51,9.97,1.79,486.75,setl_002,2026-08-22 04:33:00,2026-08-23,captured
pay_IYHE7UR2,ORD_1013,1155.74,23.11,4.16,1128.47,setl_002,2026-08-22 03:09:00,2026-08-23,captured
pay_O5BXXC02,ORD_1014,358.43,7.17,1.29,349.97,setl_002,2026-08-22 06:26:00,2026-08-23,captured
pay_GQ5C34DX,ORD_1015,1168.16,23.36,4.2,1140.6,setl_002,2026-08-22 07:12:00,2026-08-23,captured
pay_RHOCN9J2,ORD_1016,545.9,10.92,1.97,533.01,setl_002,2026-08-23 00:14:00,2026-08-24,captured
pay_K8UT0CVS,ORD_1017,191.3,3.83,0.69,186.78,setl_002,2026-08-23 08:11:00,2026-08-24,captured
pay_CC5O7UUB,ORD_1018,1754.69,35.09,6.32,1713.28,setl_002,2026-08-22 19:56:00,2026-08-23,captured
pay_HZIOYKL1,ORD_1019,1614.74,32.29,5.81,1576.64,setl_003,2026-08-23 04:02:00,2026-08-24,captured
pay_HJ755NF4,ORD_1020,494.83,9.9,1.78,483.15,setl_003,2026-08-22 20:09:00,2026-08-23,captured
pay_KX7EEDTJ,ORD_1021,1547.39,30.95,5.57,1510.87,setl_003,2026-08-22 17:47:00,2026-08-23,captured
pay_J6BW3BME,ORD_1022,420.76,8.42,1.52,410.82,setl_003,2026-08-23 01:36:00,2026-08-24,captured
pay_E8YFBNTP,ORD_1023,1823.12,36.46,6.56,1780.1,setl_003,2026-08-24 06:36:00,2026-08-25,captured
pay_YMU5907I,ORD_1024,185.47,3.71,0.67,181.09,setl_003,2026-08-24 04:15:00,2026-08-25,captured
pay_2OY0IFZN,ORD_1025,1837.14,36.74,6.61,1793.79,setl_003,2026-08-23 22:50:00,2026-08-24,captured
pay_IXOKC1MS,ORD_1026,1271.24,25.42,4.58,1241.24,setl_003,2026-08-24 04:21:00,2026-08-25,captured
pay_8JDP0LVS,ORD_1027,392.92,7.86,1.41,383.65,setl_003,2026-08-24 01:16:00,2026-08-25,captured
pay_7TZ0YNCX,ORD_1028,1868.01,37.36,6.72,1823.93,setl_003,2026-08-24 06:05:00,2026-08-25,captured
pay_YLZTGXN0,ORD_1029,1480.39,29.61,5.33,1445.45,setl_004,2026-08-24 02:35:00,2026-08-25,captured
pay_H2VLPYS2,ORD_1030,1505.91,30.12,5.42,1470.37,setl_004,2026-08-24 17:22:00,2026-08-25,captured
pay_YIHAIR4C,ORD_1031,1477.38,29.55,5.32,1442.51,setl_004,2026-08-25 03:07:00,2026-08-26,captured
pay_IXA11DPG,ORD_1032,1868.44,37.37,6.73,1824.34,setl_004,2026-08-25 05:35:00,2026-08-26,captured
pay_2Y9V86WZ,ORD_1033,654.02,13.08,2.35,638.59,setl_004,2026-08-24 20:31:00,2026-08-25,captured
pay_0RJIW1SW,ORD_1034,1632.06,32.64,5.88,1593.54,setl_004,2026-08-25 07:59:00,2026-08-26,captured
pay_LTEIYZCO,ORD_1035,656.75,13.13,2.36,641.26,setl_004,2026-08-25 00:20:00,2026-08-26,captured
pay_8A5UR7KO,ORD_1036,690.58,13.81,2.49,674.28,setl_004,2026-08-25 06:29:00,2026-08-26,captured
pay_JRNY2047,ORD_1037,3523.75,70.48,12.69,3440.58,setl_004,2026-08-26 00:33:00,2026-08-27,captured
pay_EQBNHL1N,ORD_1038,3451.7,69.03,12.43,3370.24,setl_004,2026-08-25 17:09:00,2026-08-26,captured
pay_B8IC8BBI,ORD_1039,282.49,5.65,1.02,275.82,setl_004,2026-08-25 17:52:00,2026-08-26,captured
pay_UHZ1GV0E,ORD_1040,1464.24,29.28,5.27,1429.69,setl_005,2026-08-26 08:43:00,2026-08-27,captured
pay_OZCYWD14,ORD_1041,159.81,3.2,0.58,156.03,setl_005,2026-08-26 02:40:30,2026-08-27,captured
pay_VE92MPNS,ORD_1041,159.81,3.2,0.58,156.03,setl_005,2026-08-26 02:40:00,2026-08-27,captured
pay_W3ZP08J3,ORD_1042,533.96,10.68,1.92,521.36,setl_005,2026-08-25 20:30:00,2026-08-26,captured
pay_3D5IQVNB,ORD_1043,1295.49,25.91,4.66,1264.92,setl_005,2026-08-26 01:22:00,2026-08-27,captured
pay_5ZJA8DZR,ORD_1044,1797.75,35.95,6.47,1755.33,setl_005,2026-08-27 01:24:00,2026-08-28,captured
pay_DHYLURTP,ORD_1045,1313.59,26.27,4.73,1282.59,setl_005,2026-08-27 07:51:00,2026-08-28,captured
pay_IZL08YG0,ORD_1046,334.18,6.68,1.2,326.3,setl_005,2026-08-27 01:22:00,2026-08-28,captured
pay_KMKZEBBK,ORD_1047,1946.66,38.93,7.01,1900.72,setl_005,2026-08-27 02:08:00,2026-08-28,captured
pay_ECRUYF38,ORD_1049,1293.05,25.86,4.65,1262.54,setl_005,2026-08-26 18:20:00,2026-08-27,captured
pay_2ISQP49K,ORD_1050,1160.85,23.22,4.18,1133.45,setl_006,2026-08-27 06:43:00,2026-08-28,captured
