payment_id,order_id,amount,fee,tax,net_amount,settlement_id,payment_date,settlement_date,status
pay_HSAHXTHV,ORD_1001,3457.69,69.15,12.45,3376.09,setl_001,2026-08-20 18:02:00,2026-08-21,captured
pay_8MDD4V30,ORD_1002,1818.81,36.38,6.55,1775.88,setl_001,2026-08-21 01:11:00,2026-08-22,captured
pay_3W5UZBIK,ORD_1003,946.31,18.93,3.41,923.97,setl_001,2026-08-20 19:38:00,2026-08-21,captured
pay_NHJ7XVG0,ORD_1004,1235.65,24.71,4.45,1206.49,setl_001,2026-08-21 23:58:00,2026-08-23,captured
pay_41IBLJH7,ORD_1005,686.95,13.74,2.47,670.74,setl_001,2026-08-21 00:46:00,2026-08-22,captured
pay_F0T0PVN9,ORD_1006,414.54,8.29,1.49,404.76,setl_001,2026-08-21 07:12:00,2026-08-22,captured
pay_FFYVNVQJ,ORD_1007,2498.35,49.97,8.99,2439.39,setl_001,2026-08-20 18:56:00,2026-08-21,captured
pay_EPQ85JSG,ORD_1008,517.03,10.34,1.86,504.83,setl_001,2026-08-21 01:52:00,2026-08-22,captured
pay_1T2TALA7,ORD_1009,233.17,4.66,0.84,227.67,setl_002,2026-08-20 23:12:00,2026-08-21,captured
pay_39TEX8FS,ORD_1010,1154.79,23.1,4.16,1127.53,setl_002,2026-08-20 19:09:00,2026-08-21,captured
pay_OYN6QICA,ORD_1011,1645.44,32.91,5.92,1606.61,setl_002,2026-08-20 23:48:00,2026-08-21,captured
pay_I64CIYHE,ORD_1012,1207.84,24.16,4.35,1179.33,setl_002,2026-08-21 19:46:00,2026-08-22,captured
pay_DPPQ0Y9D,ORD_1013,1896.27,37.93,6.83,1851.51,setl_002,2026-08-22 06:13:00,2026-08-23,captured
pay_TFGQ5C34,ORD_1014,379.06,7.58,1.36,294.31,setl_002,2026-08-22 00:14:00,2026-08-23,captured
pay_FRHOCN9J,ORD_1015,3014.21,60.28,10.85,2943.08,setl_002,2026-08-21 17:07:00,2026-08-22,captured
pay_K8UT0CVS,ORD_1016,191.3,3.83,0.69,186.78,setl_002,2026-08-22 08:11:00,2026-08-23,captured
pay_CC5O7UUB,ORD_1017,1754.69,35.09,6.32,1713.28,setl_002,2026-08-21 19:56:00,2026-08-22,captured
pay_HZIOYKL1,ORD_1018,1614.74,32.29,5.81,1576.64,setl_003,2026-08-22 04:02:30,2026-08-23,captured
pay_CQ99CHJ7,ORD_1018,1614.74,32.29,5.81,1576.64,setl_003,2026-08-22 04:02:00,2026-08-23,captured
pay_ZW9XA3KX,ORD_1019,1185.95,23.72,4.27,1157.96,setl_003,2026-08-22 07:58:00,2026-08-23,captured
pay_VZHWJR64,ORD_1020,210.54,4.21,0.76,205.57,setl_003,2026-08-21 21:20:00,2026-08-22,captured
pay_WJ0TPAC5,ORD_1021,1631.93,32.64,5.88,1593.41,setl_003,2026-08-21 17:23:00,2026-08-22,captured
pay_BN78BMYY,ORD_1022,3452.6,69.05,12.43,3371.12,setl_003,2026-08-21 21:29:00,2026-08-22,captured
pay_5935A0L7,ORD_1023,3537.41,70.75,12.73,3453.93,setl_003,2026-08-22 22:01:00,2026-08-23,captured
pay_4I3QK2IA,ORD_1024,214.92,4.3,0.77,209.85,setl_003,2026-08-22 20:25:00,2026-08-23,captured
pay_O9T7E8G8,ORD_1025,431.83,8.64,1.56,421.63,setl_003,2026-08-23 01:27:00,2026-08-24,captured
pay_P9E6GBPS,ORD_1026,2959.84,59.2,10.66,2889.98,setl_003,2026-08-23 04:49:00,2026-08-24,captured
pay_XE6SYLZT,ORD_1027,385.42,7.71,1.39,376.32,setl_003,2026-08-23 03:42:00,2026-08-24,captured
pay_KTAKPUXQ,ORD_1028,1615.49,32.31,5.82,1577.36,setl_004,2026-08-22 22:44:00,2026-08-23,captured
